CustomerID,Age,Gender,Income,Occupation,ShoppingFrequency,AverageTransactionValue,FavoriteProductType,VisitTime,PaymentMethod,CustomerFeedback,LoyaltyProgramParticipation,PurchaseHistory,AnnualExpenditure,MallStayDuration,ResidentialArea,Cluster
CUST1000,48,Female,176288,Manager,6,53.92,Groceries,Afternoon,Mobile Wallet,Neutral,Yes,Groceries,86097,124,Suburban,6
CUST1001,30,Female,98110,Student,12,241.56,Beauty,Morning,Cash,Very Dissatisfied,Yes,Groceries,8824,74,Urban,5
CUST1002,54,Female,197744,Manager,7,242.07,Technology,Evening,Credit Card,Neutral,No,Fashion,41993,86,Rural,3
CUST1003,27,Male,53382,Freelancer,13,40.77,Fashion,Evening,Debit Card,Very Dissatisfied,Yes,Mixed,68830,111,Rural,4
CUST1004,23,Male,165736,Freelancer,2,351.5,Fashion,Morning,Cash,Neutral,Yes,Fashion,38034,164,Urban,3
CUST1005,35,Female,185724,Engineer,12,150.07,Fashion,Afternoon,Mobile Wallet,Very Satisfied,Yes,Groceries,9213,100,Suburban,3
CUST1006,46,Female,132034,Doctor,14,365.25,Technology,Morning,Credit Card,Dissatisfied,Yes,Mixed,20701,144,Urban,7
CUST1007,26,Female,124590,Freelancer,9,166.1,Beauty,Evening,Debit Card,Very Satisfied,No,Groceries,89682,94,Urban,2
CUST1008,51,Male,147832,Engineer,10,170.66,Electronics,Morning,Mobile Wallet,Satisfied,Yes,Groceries,40605,155,Rural,7
CUST1009,66,Male,32565,Student,11,470.12,Groceries,Morning,Mobile Wallet,Very Dissatisfied,Yes,Electronics,58027,62,Urban,1
CUST1010,49,Female,46046,Freelancer,3,263.26,Fashion,Morning,Credit Card,Dissatisfied,Yes,Fashion,41394,80,Urban,1
CUST1011,57,Female,33231,Manager,13,197.23,Groceries,Evening,Mobile Wallet,Very Satisfied,No,Mixed,3048,91,Suburban,1
CUST1012,32,Female,26026,Doctor,12,251.93,Fashion,Morning,Debit Card,Very Dissatisfied,No,Groceries,86128,134,Suburban,4
CUST1013,33,Female,151556,Engineer,13,136.09,Beauty,Afternoon,Cash,Satisfied,No,Mixed,23108,51,Rural,7
CUST1014,48,Female,123956,Manager,3,454.37,Fashion,Morning,Credit Card,Neutral,Yes,Groceries,27902,175,Urban,7
CUST1015,31,Female,44594,Engineer,10,376.84,Beauty,Afternoon,Cash,Very Satisfied,No,Mixed,75880,55,Suburban,4
CUST1016,44,Female,114151,Student,7,56.89,Groceries,Evening,Debit Card,Very Dissatisfied,Yes,Mixed,46677,164,Suburban,0
CUST1017,36,Male,121866,Doctor,15,245.68,Technology,Morning,Credit Card,Satisfied,Yes,Electronics,30329,155,Suburban,0
CUST1018,64,Male,34739,Teacher,11,365.56,Fashion,Evening,Mobile Wallet,Very Satisfied,No,Groceries,4179,64,Urban,1
CUST1019,18,Male,187352,Student,12,204.89,Technology,Morning,Mobile Wallet,Very Dissatisfied,No,Fashion,36989,126,Rural,3
CUST1020,56,Male,22477,Manager,13,451.86,Groceries,Afternoon,Debit Card,Dissatisfied,No,Fashion,86730,108,Urban,4
CUST1021,25,Male,155578,Student,9,400.79,Technology,Morning,Cash,Satisfied,No,Groceries,4250,173,Urban,7
CUST1022,25,Male,148860,Manager,1,371.97,Beauty,Evening,Credit Card,Neutral,No,Fashion,62688,159,Urban,6
CUST1023,70,Male,126817,Student,1,164.69,Technology,Morning,Debit Card,Satisfied,Yes,Mixed,77695,72,Suburban,2
CUST1024,35,Male,33634,Doctor,6,217.57,Technology,Morning,Debit Card,Very Dissatisfied,Yes,Groceries,38182,100,Rural,1
CUST1025,68,Female,191056,Teacher,4,152.89,Groceries,Evening,Cash,Satisfied,Yes,Groceries,38686,98,Suburban,3
